Date,Daily Confirmed
30-Jan,1
31-Jan,0
1-Feb,0
2-Feb,1
3-Feb,1
4-Feb,0
5-Feb,0
6-Feb,0
7-Feb,0
8-Feb,0
9-Feb,0
10-Feb,0
11-Feb,0
12-Feb,0
13-Feb,0
14-Feb,0
15-Feb,0
16-Feb,0
17-Feb,0
18-Feb,0
19-Feb,0
20-Feb,0
21-Feb,0
22-Feb,0
23-Feb,0
24-Feb,0
25-Feb,0
26-Feb,0
27-Feb,0
28-Feb,0
29-Feb,0
1-Mar,0
2-Mar,2
3-Mar,1
4-Mar,22
5-Mar,2
6-Mar,1
7-Mar,3
8-Mar,5
9-Mar,9
10-Mar,15
11-Mar,8
12-Mar,10
13-Mar,10
14-Mar,11
15-Mar,10
16-Mar,14
17-Mar,20
18-Mar,25
19-Mar,27
20-Mar,58
21-Mar,78
22-Mar,69
23-Mar,94
24-Mar,74
25-Mar,86
26-Mar,73
27-Mar,153
28-Mar,136
29-Mar,120
30-Mar,187
31-Mar,309
1-Apr,424
2-Apr,486
3-Apr,560
4-Apr,579
5-Apr,609
6-Apr,484
7-Apr,573
8-Apr,565
9-Apr,813
10-Apr,871
11-Apr,854
12-Apr,758
13-Apr,1243
14-Apr,1031
15-Apr,886
16-Apr,1061
17-Apr,922
18-Apr,1371
19-Apr,1580
20-Apr,1239
21-Apr,1537
22-Apr,1292
23-Apr,1667
24-Apr,1408
25-Apr,1835
26-Apr,1607
27-Apr,1568
28-Apr,1902
29-Apr,1705
30-Apr,1801
1-May,2396
2-May,2564
3-May,2952
4-May,3656
5-May,2971
6-May,3602
7-May,3344
8-May,3339
9-May,3175
10-May,4311
11-May,3592
12-May,3562
13-May,3726
14-May,3991
15-May,3808
16-May,4794
17-May,5049
18-May,4628
19-May,6154
20-May,5720
21-May,6023
22-May,6536
23-May,6667
24-May,7111
25-May,6414
26-May,5907
27-May,7246
28-May,7254
29-May,8138
30-May,8364
31-May,8789
1-Jun,7723
2-Jun,8812
3-Jun,9689
4-Jun,9847
5-Jun,9472
6-Jun,10408
7-Jun,10882
8-Jun,8536
9-Jun,9981
10-Jun,11156
11-Jun,11135
12-Jun,11306
13-Jun,12039
14-Jun,11405
15-Jun,10032
16-Jun,11086
17-Jun,13108
18-Jun,13829
19-Jun,14740
20-Jun,15918
21-Jun,15151
22-Jun,13560
23-Jun,15656
24-Jun,16868
25-Jun,18205
26-Jun,18255
27-Jun,20142
28-Jun,19610
29-Jun,18339
30-Jun,18256
1-Jul,19429
2-Jul,21947
3-Jul,22718
4-Jul,24018
5-Jul,23942
6-Jul,22500
7-Jul,23147
8-Jul,25561
9-Jul,25790
10-Jul,27762
11-Jul,27757
12-Jul,29106
13-Jul,28178
14-Jul,29917
15-Jul,32607
16-Jul,35468
17-Jul,34820
18-Jul,37411
19-Jul,40235
20-Jul,36806
21-Jul,39170
22-Jul,45601
23-Jul,48443
24-Jul,48888
25-Jul,50072
26-Jul,48932
27-Jul,46484
28-Jul,49631
29-Jul,52479
30-Jul,54968
31-Jul,57486
1-Aug,55117
2-Aug,52672
3-Aug,50488
4-Aug,51282
5-Aug,56626
6-Aug,62170
